condition,img,ori,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,date,frameRate,expName,Session,Participant,
img_right,common/white.png,0,0,0,0,3,2018_Sep_25_1817,59.93943487032492,Real/Imagery motor movement,1,2,
exec_right,common/red.png,0,0,1,1,1,2018_Sep_25_1817,59.93943487032492,Real/Imagery motor movement,1,2,
img_left,common/white.png,180,0,2,2,2,2018_Sep_25_1817,59.93943487032492,Real/Imagery motor movement,1,2,
exec_left,common/red.png,180,0,3,3,0,2018_Sep_25_1817,59.93943487032492,Real/Imagery motor movement,1,2,
imag_third,common/white.png,270,0,4,4,4,2018_Sep_25_1817,59.93943487032492,Real/Imagery motor movement,1,2,
exec_left,common/red.png,180,1,0,5,0,2018_Sep_25_1817,59.93943487032492,Real/Imagery motor movement,1,2,
img_left,common/white.png,180,1,1,6,2,2018_Sep_25_1817,59.93943487032492,Real/Imagery motor movement,1,2,
exec_right,common/red.png,0,1,2,7,1,2018_Sep_25_1817,59.93943487032492,Real/Imagery motor movement,1,2,
imag_third,common/white.png,270,1,3,8,4,2018_Sep_25_1817,59.93943487032492,Real/Imagery motor movement,1,2,
img_right,common/white.png,0,1,4,9,3,2018_Sep_25_1817,59.93943487032492,Real/Imagery motor movement,1,2,
exec_left,common/red.png,180,2,0,10,0,2018_Sep_25_1817,59.93943487032492,Real/Imagery motor movement,1,2,
img_right,common/white.png,0,2,1,11,3,2018_Sep_25_1817,59.93943487032492,Real/Imagery motor movement,1,2,
imag_third,common/white.png,270,2,2,12,4,2018_Sep_25_1817,59.93943487032492,Real/Imagery motor movement,1,2,
img_left,common/white.png,180,2,3,13,2,2018_Sep_25_1817,59.93943487032492,Real/Imagery motor movement,1,2,
exec_right,common/red.png,0,2,4,14,1,2018_Sep_25_1817,59.93943487032492,Real/Imagery motor movement,1,2,
exec_left,common/red.png,180,3,0,15,0,2018_Sep_25_1817,59.93943487032492,Real/Imagery motor movement,1,2,
imag_third,common/white.png,270,3,1,16,4,2018_Sep_25_1817,59.93943487032492,Real/Imagery motor movement,1,2,
img_right,common/white.png,0,3,2,17,3,2018_Sep_25_1817,59.93943487032492,Real/Imagery motor movement,1,2,
exec_right,common/red.png,0,3,3,18,1,2018_Sep_25_1817,59.93943487032492,Real/Imagery motor movement,1,2,
img_left,common/white.png,180,3,4,19,2,2018_Sep_25_1817,59.93943487032492,Real/Imagery motor movement,1,2,
exec_right,common/red.png,0,4,0,20,1,2018_Sep_25_1817,59.93943487032492,Real/Imagery motor movement,1,2,
exec_left,common/red.png,180,4,1,21,0,2018_Sep_25_1817,59.93943487032492,Real/Imagery motor movement,1,2,
imag_third,common/white.png,270,4,2,22,4,2018_Sep_25_1817,59.93943487032492,Real/Imagery motor movement,1,2,
img_left,common/white.png,180,4,3,23,2,2018_Sep_25_1817,59.93943487032492,Real/Imagery motor movement,1,2,
img_right,common/white.png,0,4,4,24,3,2018_Sep_25_1817,59.93943487032492,Real/Imagery motor movement,1,2,
